OTU ID,A_1,E_1,A_3,C_1,B_1,E_3,F_3,E_2,C_3,C_2,D_3,B_3,B_2,D_1,D_2,F_2,A_2,F_1
OTU2561,9,14,13,9,42,38,14,17,24,12,77,20,69,14,10,11,12,11
OTU4114,2,1,0,0,4,0,0,0,0,6,2,3,0,1,1,0,0,0
OTU12369,1,3,0,5,2,2,0,0,2,2,1,1,1,1,0,5,0,1
OTU7275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU10948,22,12,11,0,30,8,23,26,11,9,26,20,12,26,7,10,8,6
OTU5535,0,0,0,1,0,0,2,2,4,0,0,0,0,0,0,0,0,0
OTU14024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU13402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU3876,2,1,2,0,4,1,2,3,0,0,9,7,13,10,16,1,5,1
OTU13860,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU10002,1,6,0,12,4,4,2,6,2,6,0,1,0,0,1,2,0,3
OTU1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU4580,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU1762,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3171,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
OTU3460,1,3,12,0,4,2,3,3,2,11,5,2,9,10,3,2,2,0
OTU12850,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
OTU9560,160,164,123,182,207,183,171,101,135,176,151,149,129,117,159,180,166,134
OTU9349,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU9908,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU14802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1651,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0
OTU813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU9285,17,4,3,13,13,4,5,5,7,10,5,13,11,12,7,12,6,5
OTU8548,2,3,7,4,2,6,3,5,5,2,4,8,7,1,5,1,3,3
OTU914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
OTU12591,2,0,9,0,6,1,1,5,5,3,0,0,0,1,1,4,0,2
OTU14373,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU3162,0,0,0,3,2,0,0,0,3,0,7,0,12,0,0,0,1,0
OTU14526,0,0,3,2,0,0,0,2,0,0,2,0,1,2,0,0,0,3
OTU8848,15,22,21,16,20,22,5,10,23,22,19,19,8,11,22,18,16,21
OTU13867,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU14511,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1
OTU2099,3,0,5,0,0,1,4,1,1,0,1,3,0,3,4,0,3,1
OTU4017,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
OTU14298,1,2,2,5,1,0,0,1,4,1,0,1,0,0,2,1,0,1
OTU14738,0,0,3,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1
OTU13458,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
OTU7849,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU2410,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU4402,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5146,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU3063,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OTU12458,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OTU5968,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU12264,1,3,0,8,0,1,2,3,4,8,0,0,2,2,1,3,2,4
OTU16055,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU8158,5,2,5,8,2,2,5,1,3,3,0,0,0,0,0,2,0,1
OTU692,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU13957,1,1,0,0,0,1,0,0,2,0,0,3,0,1,0,0,0,1
OTU3673,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU11378,17,20,12,16,14,6,14,38,13,7,22,23,15,45,19,21,28,25
OTU3292,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
OTU8857,8,12,9,25,17,9,17,11,5,21,11,12,16,4,13,8,19,14
OTU1025,4,7,8,11,3,14,8,5,11,4,6,8,7,7,10,9,15,10
OTU2395,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8879,6,21,59,19,30,22,33,33,46,12,46,12,20,29,33,77,27,26
OTU7009,3,2,2,0,2,0,2,4,1,0,0,3,3,1,4,1,1,1
OTU12748,6,4,3,5,12,13,5,2,3,10,6,3,8,6,12,6,1,3
OTU2858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU494,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU14059,2,1,3,4,1,3,7,0,0,1,1,4,1,1,0,2,0,0
OTU78,1,1,0,0,2,2,1,2,0,0,4,0,0,0,0,0,2,0
OTU7519,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU6729,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU9983,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
OTU5745,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU3117,1,0,0,2,4,2,0,0,0,0,0,0,2,0,0,1,0,0
OTU14392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
OTU10555,2,3,5,2,5,6,4,8,4,6,23,0,7,11,6,6,2,19
OTU11764,3,6,15,1,13,5,17,11,11,10,18,13,8,12,28,10,1,13
OTU3954,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1
OTU11501,0,4,1,2,1,2,7,13,1,2,1,1,0,0,0,4,0,2
OTU1903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6513,0,2,2,0,0,7,0,0,0,0,0,2,0,2,0,0,0,2
OTU8362,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
OTU1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU6640,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,2,0
OTU11544,7,2,2,7,5,7,1,3,3,1,3,2,2,7,4,0,2,6
OTU8332,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU4540,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,1,0
OTU6188,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU11145,11,11,5,6,14,6,4,22,3,9,9,11,6,5,9,9,8,12
OTU3140,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU12533,0,0,1,0,2,0,0,1,5,2,0,1,0,0,1,0,1,0
OTU11322,0,0,4,0,0,3,0,1,0,3,1,0,0,0,0,0,0,1
OTU15523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU5206,0,0,5,3,0,1,0,1,4,2,0,0,0,0,0,0,2,0
OTU9504,3,14,15,1,6,2,11,15,7,2,25,0,11,16,2,4,8,12
OTU2331,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4097,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU14599,0,0,2,0,4,0,0,0,6,4,0,1,2,0,0,1,4,5
OTU3157,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU8811,18,18,117,15,47,30,74,76,53,38,89,52,49,88,148,101,16,37
OTU9283,4,13,6,4,6,3,15,6,1,7,9,10,11,9,8,4,11,6
OTU1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU11167,0,2,4,2,2,1,4,3,2,1,2,2,0,5,4,8,0,0
OTU6955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU5351,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
OTU1835,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8673,2,1,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0
OTU7071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
OTU14603,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
OTU12253,3,0,0,2,3,0,3,3,0,1,0,0,0,1,0,3,1,0
OTU3307,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
OTU15356,0,3,0,2,3,0,0,0,1,1,2,1,1,1,0,2,0,0
OTU4569,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2601,0,0,0,0,2,0,3,3,2,0,2,1,0,2,4,0,0,0
OTU14672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU1125,49,27,7,30,43,49,25,13,19,27,7,17,17,28,7,19,28,11
OTU12792,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
OTU8186,18,8,9,26,15,4,9,7,15,13,5,3,9,4,10,8,15,10
OTU15172,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,4,0,0
OTU13081,1,8,7,1,6,2,4,4,4,5,21,17,12,5,6,3,1,8
OTU5235,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
